BATTER_ID,BATTER_NAME
123655,Dick Van Zant
122287,Ted Sizemore
121669,John Sanders
123691,Guillermo Velasquez
122960,Mike Sullivan
124571,Woody Woodward
452121,Brent Lillibridge
117123,Joe Kirrene
120093,Dan Osinski
124395,George Wilson
115034,Bill Grahame
446334,Evan Longoria
666619,Gregory Santos
111022,Bill Bishop
150441,Kevin Nicholson
523648,Mark Hamburger
150206,Scott Mullen
117716,David Lenz
120701,Dykes Potter
116696,Jake Jones
819539,Ernest Finch
115444,Don Hanski
119527,Pedro Muñoz
132640,Kennie Steenstra
112938,Steve Cummings
112261,Neil Chrisley
112843,Harry Croft
650496,J. C. Mejía
117567,Bill Laxton
114989,Rich Gossage
118242,Ernie Manning
425346,Carlos Rivera
671655,George Valera
694671,Wyatt Langford
121113,Ronn Reynolds
407576,Mike Rivera
117301,Danny Kravitz
123844,Welday Walker
110788,Matt Beech
593871,Jorge Polanco
119400,John Morris
680735,Austin Cox
691548,Rolddy Muñoz
116089,Jim Holloway
817698,Salvador Poree
518960,Jonathan Lucroy
116758,Ricardo Jordan
817023,Alfred Taylor
596043,Daniel Mengden
518875,Shawn Kelley
819381,Lefty Gilmore
117264,Art Kores
573016,Kyle Martin
277184,Matt Wise
216897,Kyle Snyder
111228,Pedro Borbón
116538,Virgil Jester
672386,Alejandro Kirk
115654,Ray Hayworth
452063,P. J. Pilittere
117872,Bill Lohrman
119026,Cass Michaels
116042,Malachi Hogan
658305,Edgar García
111314,Gary Boyd
122100,Jimmy Sheckard
608701,Rob Refsnyder
817241,Smith
113906,Cecil Espy
427256,Rodney Johnson
123393,Tommy Toms
110014,Ody Abbott
685410,Peyton Battenfield
115289,Harvey Haddix
600887,Miguel Del Pozo
820466,George Board
120040,Tom Oran
701305,Zach Dezenzo
572008,Chris Owings
110427,Carlos Baerga
119315,Ray Moore
492698,Mike Walsh
110642,Les Bartholomew
661294,Ryan Easton
124218,Pinky Whitney
113245,Garton Del Savio
817141,Herb Souell
118289,Gene Markland
571974,J. R. Murphy
675650,Michael Mercado
119493,Ford Mullen
111720,Jimmy Burke
150102,Dave Coggin
817452,Julio Rojo
112626,Mike Cook
150433,Ben Davis
118988,Andrew Messenger
430627,Bartolomé Fortunato
117883,Lou Lombardo
817458,Nat Rogers
121300,Val Robinson
682995,Hunter Barco
123406,Joe Torre
816771,Casey Walker
115870,Larry Hesterfer
120580,Duane Pillette
425857,David Manning
451491,Joel Zumaya
808963,Roki Sasaki
595371,Chris Rearick
122269,Elmer Singleton
670224,Kameron Misner
656413,Stuart Fairchild
116986,Ray Kennedy
669467,Andre Pallante
116682,Doug Jones
543228,Yan Gomes
641341,Tyler Bashlor
133343,Preston Wilson
116163,Ricky Horton
115162,Burleigh Grimes
123819,Dixie Walker
118893,Dave Meads
680604,Blas Castano
818616,Henry Kimbro
123882,John Walsh
116099,Shawn Holman
118945,Mario Mendoza
122584,Jim Spencer
689266,Dylan Dodd
676059,Jordan Westburg
110578,Eppie Barnes
123343,Johnny Tillman
122693,William Starr
122392,George Smith
114230,Huck Flener
116447,Bill Jackson
111383,Ron Brand
430649,Iván Ochoa
429382,Darren Balsley
429481,Tony Mounce
817307,Bonnie Serrell
456499,Scott Patterson
696519,Samy Natera
116947,John Kelly
124293,Lefty Williams
110071,Joe Adcock
820695,Red Applegate
819619,Bill Evans
119423,Carl Morton
122577,Chet Spencer
818932,Robert Hudspeth
116128,Mike Hooper
110114,Santo Alcalá
122683,Dave Stapleton
124267,Aldon Wilkie
816740,Pinky Ward
111130,Frederick Boardman
641853,David Mckay
111486,Jack Brittin
114847,Luke Glavenich
491646,Jeanmar Gómez
517059,José De Paula
122855,Sammy Strang
596295,Austin Gomber
488776,Jaye Chapman
459967,Sam Lecure
115460,Carroll Hardy
114930,Fernando González
120769,Ray Prim
121531,Johnny Rucker
820042,Jimmy Cockerham
408249,Julio Mañón
116019,Jack Hoey
113072,Jack Daugherty
114060,Horace Fenner
115783,Butch Henry
150419,Jeff D'Amico
118509,Jim Mcandrew
664954,Brett Sullivan
122303,Bill Skowron
600301,Taylor Motter
120153,Alex Pacheco
122907,George Stumpf
117474,Frank Lange
122341,Joe Smaza
621248,Ralph Garza
113230,Luis Deleón
124199,Milt Whitehead
116473,Bert James
115535,Gene Harris
120395,Laurin Pepper
606995,Justin Hancock
122371,Dave Smith
817684,Bill Powell
116490,Vic Janowicz
119347,Mickey Morandini
119701,Rocky Nelson
119843,Mike Norris
122427,Roy Smith
122636,Bill Stafford
136734,Octavio Dotel
122739,Mike Stenhouse
818306,Manuel Masiñeira
608335,Kyle Funkhouser
818939,John Huber
122599,Harry Spilman
115898,Buddy Hicks
118949,Tony Menéndez
117087,Sam King
123734,Bill Virdon
701162,Ben Malgeri
817909,Albert Overton
115305,Bill Hague
407882,Pat Strange
642136,Matt Thaiss
451186,Lastings Milledge
115212,Al Grunwald
573597,Gabe Morales
820336,George Brown
115937,Herman Hill
474443,Iván De Jesús
115929,Belden Hill
122267,Hosea Siner
114471,Oscar Fuhr
114413,Jake Freeze
118490,Brent Mayne
120700,Nellie Pott
113896,Ángel Escobar
571439,R. J. Alvarez
400291,Dustin Moseley
117994,Rob Lukachyk
676220,Seth Elledge
119931,Billy O'Dell
111494,John Brock
121620,Pony Sager
112584,Tom Connolly
110635,Jack Barry
444444,Mitch Atkins
119401,Walter Morris
111252,Dick Bosman
115521,Greg Harris
547888,Masahiro Tanaka
110118,Scott Aldred
292294,Luis Figueroa
669302,Logan Gilbert
119172,Dan Minahan
445593,Justin Meccage
112561,Jocko Conlan
115576,Topsy Hartsel
430599,Joe Blanton
123801,Tim Wakefield
819953,Sam Crawford
150393,Tony Armas
111360,Cliff Brady
117448,Doc Land
120099,Bill Oster
119045,Horace Milan
110541,Jimmy Bannon
117931,Scott Loucks
657656,Ramón Laureano
115799,Ron Herbel
110565,Al Barker
122223,Frank Sigafoos
818758,Jimmy Johnson
471919,Jhonny Núñez
111853,Edgar Cáceres
117181,Rudy Kneisch
117037,Dana Kiecker
113279,Tony Dephillips
116359,Carl Husta
113792,Henry Elder
124680,Gus Yost
458679,Josh Bell
115075,Dolly Gray
482188,Darin Padur
122053,Frank Shannon
669194,Ryne Nelson
118285,Red Marion
115235,Lefty Guise
124025,Mitch Webster
820523,Sam Bennett
119296,Gene Moore
134263,Tom Wilson
506747,Francisco Peña
119154,Kevin Millwood
116095,Brad Holman
136661,Marino Santana
117969,Steve Lubratich
116198,Chris Howard
121073,Tony Rensa
816758,Tony Walker
120909,Edgar Ramos
118954,Ted Menze
118704,John Mcgillen
116575,Darrell Johnson
113050,Cliff Daringer
492619,Hugo Bezdek
819975,Harry Cornett
119611,George Myatt
120142,Jack Owens
819624,Carlos Etchegoyen
117916,Aurelio López
115454,Lou Hardie
819480,Fox
686842,Mckinley Moore
116598,Youngy Johnson
113848,Joe Engel
118023,Greg Luzinski
692285,Luis Guerrero
115509,Joe Harrington
665734,Angel Felipe
117292,Tom Kramer
123467,Joe Trimble
118278,Walt Marbet
817112,Jim Starks
124503,Ed Wojna
607054,Jace Peterson
818248,Walter Mccoy
114365,Bill Fox
818170,Chute Merritt
114836,Brian Givens
111748,Farmer Burns
150409,Christian Parker
467856,Carlos Monasterios
114992,Jim Gott
663765,Jake Woodford
680802,Ryan Weiss
116565,Bob Johnson
594815,Jeff Ferrell
114501,John Gabler
666277,George Soriano
120806,Pid Purdy
668674,Lucas Erceg
542583,Jesús Aguilar
643550,Layne Somsen
120322,Harley Payne
111220,Ray Boone
117941,Vance Lovelace
134182,Mike Saipe
594943,Zach Neal
114518,Del Gainer
118908,Frank Meek
115921,Teddy Higuera
687066,Eric Yang
641432,Willie Calhoun
119925,Johnny O'Connor
116558,Rankin Johnson
818104,Mondell
122056,Owen Shannon
114765,Paul Giel
683627,Anthony Molina
620454,José Castillo
818469,Gustavo Lluberes
816727,William Warrick
445216,Daniel Mccutchen
110353,Billy Ashley
676628,Mark Contreras
123561,Jim Umbricht
113468,Harry Dooms
122990,Max Surkont
118753,Stuffy Mcinnis
119659,Jim Nash
124193,Bill White
577468,Roberto Ortiz
431083,Jordan Sprechman
120747,Todd Pratt
123927,Dick Ward
118792,Byron Mclaughlin
112711,Mike Cosgrove
819614,Felix Evans
114448,Frankie Frisch
456012,Dan Dement
461836,Chris Lambert
116881,Greg Keatley
111662,Dick Buckley
542942,Carson Blair
114846,Jack Glasscock
408226,Juan Brito
606336,Luis Marté
115306,Don Hahn
700391,Rayden Sierra
122556,Bob Spade
114997,Claude Gouzzie
116709,Red Jones
112944,Joe Cunningham
805249,Otto Kemp
124748,Gregg Zaun
674681,Michael Plassmeyer
122522,Luis Sojo
114435,Cy Fried
444886,Zach Mcclellan
110657,Jim Baskette
112026,Frank Carpin
120396,Ray Pepper
460677,Cory Wade
123495,Ollie Tucker
117169,Joe Klugmann
820603,F. Banks
124270,Marc Wilkins
113488,David Doster
124143,Harry Wheeler
124739,Eddie Zambrano
517451,Joe Ortiz
543223,Brad Glenn
121871,Ken Schrom
623439,Ryan Garton
122897,Dick Stuart
124073,Greg Wells
500721,Yoervis Medina
680739,Josh Winder
113354,Lloyd Dietz
666208,Alex Speas
111936,Paul Campbell
115102,Paddy Greene
119250,Ed Monroe
114262,Bobby Floyd
119658,Cotton Nash
819008,Bruce Hocker
820369,Jess Brooks
118579,Jim Mccloskey
133980,Mike Frank
121101,Archie Reynolds
817895,Juan Padrón
119216,Danny Moeller
607259,Nick Martínez
121648,Bill Sampen
642840,Joe Harvey
817707,Pool
820068,Maceo Clark
118655,Gil Mcdougald
116307,Al Humphrey
122513,Russ Snyder
110783,Phil Bedgood
121360,Tony Rodríguez
117367,Earl Kunz
499125,Gregg Wong
111631,Roy Bruner
543351,Jay Jackson
123238,Pinch Thomas
121406,Cookie Rojas
124391,Zeke Wilson
434699,Guy Conti
116967,John Kelty
123213,Bob Tewksbury
119000,Butch Metzger
816784,Lee Wade
425471,Jimmy Gobble
670050,Stephen Ridings
116136,William Hoover
453954,Kevin Hart
111780,Moe Burtschy
120589,Ed Pinnance
118545,Roger Mccardell
116787,Wally Judnich
431076,Mike Shalin
123640,Fred Van Dusen
118659,Sam Mcdowell
150208,Ken Ray
124185,Rondell White
818830,Don Jefferson
817306,Andrew Sephus
